categoria,sku,nombre,formato,precio_lista_moneda,precio_lista,unidad_minima,descuento_mayorista_volumen,lead_time_dias,regiones_envio,comentarios
Congelados,CO-001,Papa a la francesa 9mm,5kg,COP,23110,2,10% a partir de 45 unidades,6,Nacional,Apto para veganos
Congelados,CO-002,Arepas rellenas,12 unidades,COP,25893,9,12% a partir de 25 unidades,2,Nacional,Mantener refrigerado
Congelados,CO-003,Vegetales mixtos,1kg,COP,29465,12,8% a partir de 27 unidades,2,Nacional,Apto para veganos
Congelados,CO-004,Filete de pescado,2.5kg,COP,31180,4,10% a partir de 24 unidades,5,Nacional,Mantener refrigerado
Congelados,CO-005,Croquetas de pollo,1kg,COP,32134,7,9% a partir de 16 unidades,3,Nacional,Empaque resellable
Lácteos,LÁ-006,Queso mozzarella,1.5L,COP,29786,12,10% a partir de 7 unidades,6,Nacional,Sin azúcar añadida
Lácteos,LÁ-007,Leche entera,1L,COP,11729,10,7% a partir de 20 unidades,4,Regional,Mantener refrigerado
Lácteos,LÁ-008,Yogur natural,1kg,COP,6027,10,5% a partir de 10 unidades,7,Nacional,Mantener refrigerado
Lácteos,LÁ-009,Mantequilla sin sal,250g,COP,16679,3,11% a partir de 39 unidades,7,Nacional,Libre de gluten
Lácteos,LÁ-010,Kumis,12 unidades,COP,21040,6,11% a partir de 50 unidades,5,Regional,Empaque resellable
Bebidas,BE-011,Jugo de naranja,6 unidades,COP,30244,11,9% a partir de 36 unidades,4,Nacional,Certificación INVIMA
Bebidas,BE-012,Agua mineral,5kg,COP,26588,3,9% a partir de 18 unidades,5,Regional,Empaque resellable
Bebidas,BE-013,Gaseosa cola,1kg,COP,25424,7,7% a partir de 20 unidades,7,Regional,Certificación INVIMA
Bebidas,BE-014,Té verde,250g,COP,24991,9,11% a partir de 26 unidades,7,Regional,Certificación INVIMA
Bebidas,BE-015,Cerveza artesanal,5kg,COP,14705,11,11% a partir de 42 unidades,5,Nacional,Mantener refrigerado
Snacks,SN-016,Mix de frutos secos,700g,COP,9923,7,5% a partir de 20 unidades,5,Nacional,Libre de gluten
Snacks,SN-017,Chips de plátano,6 unidades,COP,29490,10,5% a partir de 38 unidades,3,Nacional,Empaque resellable
Snacks,SN-018,Galletas integrales,6 unidades,COP,25143,3,7% a partir de 23 unidades,2,Regional,Certificación INVIMA
